Date,Bitcoin Open,Bitcoin High,Bitcoin Low,Ethereum Open,Ethereum High,Ethereum Low,Tether Open,Tether High,Tether Low,Solana Open,Solana High,Solana Low,Cardano Open,Cardano High, Cardano Low,Binance Open,Binance High,Binance Low
"Dec 31, 2024",92643.25,96090.60,91914.03,3356.39,3444.40,3311.41,0.9981,1.0000,0.9978,191.05,198.68,187.98,0.860024,0.872263,0.841744,704.15,713.6,698.03
"Dec 30, 2024",93527.20,94903.32,91317.13,3349.59,3428.53,3298.80,0.9982,0.9997,0.9971,189.74,196.12,185.94,0.858641,0.896195,0.830983,693.75,711.04,686.91
"Dec 29, 2024",95174.05,95174.88,92881.79,3397.86,3406.65,3321.66,0.9982,0.9993,0.9976,195.02,197.18,188.34,0.887817,0.907943,0.85229,720.96,722.77,689.48
"Dec 28, 2024",94160.19,95525.90,94014.29,3328.77,3419.92,3318.03,0.9986,0.9996,0.9979,183.83,195.44,183.83,0.874775,0.895069,0.867825,690.43,729.32,690.43
"Dec 27, 2024",95704.98,97294.84,93310.74,3331.05,3436.71,3302.58,0.9989,1.0000,0.9978,188.22,193.75,182.95,0.85978,0.911337,0.857433,688.35,709.65,685.2
"Dec 26, 2024",99297.70,99884.57,95137.88,3493.30,3512.60,3302.31,0.9992,1.0006,0.9986,197.48,199.4,186.86,0.916854,0.924634,0.853079,702.33,718.16,683.26
"Dec 25, 2024",98675.91,99478.75,97593.47,3491.96,3542.83,3440.10,0.9993,1.0005,0.9988,196.99,201.63,195.35,0.936465,0.936551,0.904098,696.74,711.99,695.96
"Dec 24, 2024",94684.34,99404.06,93448.02,3415.74,3535.86,3355.61,0.9987,1.0004,0.9982,189.75,198.7,186.12,0.924243,0.947713,0.892834,693,698.44,682
"Dec 23, 2024",95099.39,96416.21,92403.13,3277.51,3461.53,3217.37,0.999,1.0001,0.9982,180.17,193.05,176.72,0.882984,0.939546,0.865227,648.7,697.4,637.97
"Dec 22, 2024",97218.32,97360.27,94202.19,3337.00,3398.66,3219.29,0.9997,1.0006,0.9986,181.29,187.53,177.13,0.904687,0.921685,0.863091,663.27,668.83,639.61
"Dec 21, 2024",97756.20,99507.10,96426.52,3472.59,3552.92,3293.51,0.9995,1.0006,0.9991,194.21,201.63,178.74,0.951011,0.99591,0.889876,678.09,692.64,652.61
"Dec 20, 2024",97484.70,98098.91,92175.18,3417.93,3496.33,3098.20,0.9992,1.0007,0.9979,194.28,199.36,175.91,0.885489,0.956713,0.765889,666.57,679.44,619.5
"Dec 19, 2024",100070.69,102748.15,95587.68,3619.58,3717.66,3330.87,0.9995,1.0006,0.9977,206.38,212,188.03,0.968439,0.987184,0.853876,687.62,704.49,651.04
"Dec 18, 2024",106147.30,106470.61,100041.54,3886.89,3902.72,3617.84,1.0001,1.0003,0.9981,222.82,225.89,205,1.051527,1.057945,0.968378,716.72,721.76,686.66
"Dec 17, 2024",106030.69,108268.45,105291.73,3987.33,4040.34,3849.29,1.0002,1.0005,0.9986,216.33,228.69,211.91,1.078846,1.109043,1.045289,720.33,735.76,713.73
"Dec 16, 2024",104293.58,107780.58,103322.98,3951.65,4106.96,3882.71,0.9993,1.0006,0.9985,223.66,227.04,213.48,1.101666,1.115706,1.052016,719.13,730,704.34
