Date,Bitcoin Open,Bitcoin High,Bitcoin Low,Bitcoin Close,Ethereum Open,Ethereum High,Ethereum Low,Ethereum Close
"Dec 31, 2024",92643.25,96090.60,91914.03,93429.20,3356.39,3444.40,3311.41,3332.53
"Dec 30, 2024",93527.20,94903.32,91317.13,92643.21,3349.59,3428.53,3298.80,3356.39
"Dec 29, 2024",95174.05,95174.88,92881.79,93530.23,3397.86,3406.65,3321.66,3349.51
"Dec 28, 2024",94160.19,95525.90,94014.29,95163.93,3328.77,3419.92,3318.03,3397.90
"Dec 27, 2024",95704.98,97294.84,93310.74,94164.86,3331.05,3436.71,3302.58,3328.92
"Dec 26, 2024",99297.70,99884.57,95137.88,95795.52,3493.30,3512.60,3302.31,3331.23
"Dec 25, 2024",98675.91,99478.75,97593.47,99299.20,3491.96,3542.83,3440.10,3493.24
"Dec 24, 2024",94684.34,99404.06,93448.02,98676.09,3415.74,3535.86,3355.61,3492.05
"Dec 23, 2024",95099.39,96416.21,92403.13,94686.24,3277.51,3461.53,3217.37,3415.79
"Dec 22, 2024",97218.32,97360.27,94202.19,95104.94,3337.00,3398.66,3219.29,3277.54
"Dec 21, 2024",97756.20,99507.10,96426.52,97224.73,3472.59,3552.92,3293.51,3337.22
"Dec 20, 2024",97484.70,98098.91,92175.18,97755.93,3417.93,3496.33,3098.20,3472.55
"Dec 19, 2024",100070.69,102748.15,95587.68,97490.95,3619.58,3717.66,3330.87,3417.93
"Dec 18, 2024",106147.30,106470.61,100041.54,100041.54,3886.89,3902.72,3617.84,3618.79
"Dec 17, 2024",106030.69,108268.45,105291.73,106140.60,3987.33,4040.34,3849.29,3886.77
"Dec 16, 2024",104293.58,107780.58,103322.98,106029.72,3951.65,4106.96,3882.71,3987.48
"Dec 15, 2024",101373.53,105047.54,101227.03,104298.70,3868.44,3971.50,3832.10,3951.94
"Dec 14, 2024",101451.44,102618.88,100634.05,101372.97,3910.85,3943.28,3826.76,3868.41
"Dec 13, 2024",100046.65,101888.80,99233.28,101459.26,3883.03,3967.40,3855.02,3911.21
"Dec 12, 2024",101167.80,102524.91,99339.95,100043.00,3833.17,3987.01,3800.09,3883.10
"Dec 11, 2024",96656.06,101913.36,95747.23,101173.03,3631.28,3850.77,3567.57,3832.82
"Dec 10, 2024",97441.23,98270.16,94321.26,96675.43,3719.00,3780.75,3520.37,3631.83
"Dec 9, 2024",101237.06,101272.51,94355.91,97432.72,4006.10,4008.78,3525.23,3718.69
"Dec 8, 2024",99921.91,101399.99,98771.52,101236.02,4007.69,4018.00,3927.85,4005.70
"Dec 7, 2024",99916.71,100563.38,99030.88,99923.34,4006.03,4029.45,3974.18,4002.69
"Dec 6, 2024",97074.23,102039.88,96514.88,99920.71,3792.21,4093.17,3782.68,4005.81
"Dec 5, 2024",98741.54,103900.47,91998.78,96593.57,3840.84,3956.54,3683.42,3811.01
"Dec 4, 2024",95988.53,99207.33,94660.52,98768.53,3620.04,3895.17,3617.74,3841.33
"Dec 3, 2024",95854.59,96297.20,93629.56,96002.16,3643.74,3670.22,3504.23,3620.71
"Dec 2, 2024",97276.01,98152.60,94482.87,95865.30,3710.50,3761.34,3557.25,3644.20
"Dec 1, 2024",96461.34,97888.13,95770.19,97279.79,3706.62,3747.46,3663.23,3711.17
"Nov 30, 2024",97468.81,97499.34,96144.22,96449.05,3593.60,3739.93,3572.25,3705.71
"Nov 29, 2024",95653.95,98693.17,95407.88,97461.52,3579.91,3647.26,3538.45,3593.49
"Nov 28, 2024",95954.95,96650.20,94677.35,95652.47,3656.61,3664.88,3531.87,3579.81
"Nov 27, 2024",91978.14,97361.18,91778.66,95962.53,3326.03,3687.01,3303.57,3657.25
"Nov 26, 2024",93087.28,94991.75,90770.81,91985.32,3412.95,3461.29,3255.54,3326.52
"Nov 25, 2024",98033.45,98935.03,92642.91,93102.30,3364.60,3545.28,3304.09,3413.54
"Nov 24, 2024",97778.09,98647.18,95788.08,98013.82,3397.00,3451.80,3288.43,3363.66
"Nov 23, 2024",99006.74,99014.68,97232.89,97777.28,3331.65,3499.37,3317.65,3396.22
"Nov 22, 2024",98496.43,99655.50,97222.66,98997.66,3360.65,3428.46,3262.81,3331.60
"Nov 21, 2024",94334.64,99014.22,94132.60,98504.73,3072.06,3388.54,3035.85,3361.05
"Nov 20, 2024",92341.89,94902.02,91619.50,94339.49,3111.12,3159.95,3032.60,3072.19
"Nov 19, 2024",90536.81,94002.87,90426.98,92343.79,3208.25,3222.00,3070.36,3111.38
"Nov 18, 2024",89843.72,92596.79,89393.59,90542.64,3075.72,3225.13,3052.49,3207.86
"Nov 17, 2024",90558.46,91433.04,88741.66,89845.85,3133.31,3160.15,3039.25,3075.66
"Nov 16, 2024",91064.37,91763.95,90094.23,90558.48,3089.74,3218.09,3073.29,3133.27
"Nov 15, 2024",87284.18,91868.74,87124.90,91066.01,3059.53,3130.70,3016.14,3103.04
"Nov 14, 2024",90574.88,91765.22,86682.81,87250.43,3192.52,3240.27,3032.97,3058.95
"Nov 13, 2024",87929.97,93434.35,86256.93,90584.16,3244.54,3337.88,3121.67,3192.60
"Nov 12, 2024",88705.56,89956.88,85155.11,87955.81,3375.15,3444.15,3211.20,3246.26
"Nov 11, 2024",80471.41,89604.50,80283.25,88701.48,3191.66,3389.53,3109.77,3374.81
"Nov 10, 2024",76775.55,81474.42,76565.43,80474.19,3130.73,3249.91,3073.25,3191.33
"Nov 9, 2024",76556.19,76932.77,75773.79,76778.87,2962.79,3156.37,2957.18,3131.14
"Nov 8, 2024",75902.84,77252.75,75648.74,76545.48,2895.60,2983.74,2889.48,2962.30
"Nov 7, 2024",75637.09,76943.12,74480.42,75904.86,2724.01,2918.74,2701.59,2895.59
"Nov 6, 2024",69358.50,76460.16,69322.03,75639.08,2422.54,2743.96,2421.81,2724.17
"Nov 5, 2024",67811.17,70522.79,67458.87,69359.56,2397.04,2478.62,2380.60,2422.65
"Nov 4, 2024",68742.13,69433.18,66803.65,67811.51,2456.10,2488.35,2359.58,2397.03
"Nov 3, 2024",69296.38,69361.66,67482.52,68741.12,2491.09,2495.44,2411.40,2456.43
"Nov 2, 2024",69486.02,69867.35,69033.72,69289.27,2512.21,2522.36,2471.96,2491.07
"Nov 1, 2024",70216.90,71559.02,68779.70,69482.47,2515.87,2583.78,2467.82,2511.89
"Oct 31, 2024",72335.05,72662.31,69590.50,70215.19,2657.21,2667.56,2501.57,2515.80
"Oct 30, 2024",72715.37,72905.30,71411.73,72339.54,2637.64,2720.27,2600.61,2657.37
"Oct 29, 2024",69910.05,73577.21,69729.91,72720.49,2565.42,2680.05,2560.15,2637.96
"Oct 28, 2024",67922.67,70212.27,67535.13,69907.76,2505.59,2587.43,2470.27,2565.35
"Oct 27, 2024",67023.48,68221.31,66847.23,67929.30,2479.94,2523.17,2462.27,2505.94
"Oct 26, 2024",66628.73,67317.92,66360.59,67014.70,2436.05,2503.23,2427.46,2479.60
"Oct 25, 2024",68165.30,68722.16,65521.79,66642.41,2534.45,2563.73,2381.45,2435.93
"Oct 24, 2024",66653.70,68798.96,66454.10,68161.05,2523.61,2559.15,2506.72,2534.50
"Oct 23, 2024",67362.38,67402.74,65188.04,66432.20,2620.09,2624.45,2457.17,2509.10
"Oct 22, 2024",67360.70,67801.58,66581.37,67361.41,2665.66,2669.79,2605.62,2620.20
"Oct 21, 2024",69002.00,69462.73,66829.85,67367.85,2746.31,2765.55,2655.29,2665.71
"Oct 20, 2024",68364.18,69359.01,68105.72,69001.70,2648.67,2756.44,2635.95,2746.36
"Oct 19, 2024",68418.98,68668.01,68024.64,68362.73,2641.49,2661.87,2631.66,2648.66
"Oct 18, 2024",67419.11,68969.75,67177.82,68418.79,2604.81,2674.37,2595.96,2641.55
"Oct 17, 2024",67617.08,67912.21,66647.39,67399.84,2611.19,2646.87,2577.31,2604.27
"Oct 16, 2024",67042.46,68375.29,66758.73,67612.72,2606.02,2644.85,2589.61,2611.10
"Oct 15, 2024",66050.37,67881.68,64809.20,67041.11,2629.02,2685.17,2537.94,2606.02
"Oct 14, 2024",62848.40,66482.49,62442.15,66046.13,2467.65,2652.88,2443.55,2628.90
"Oct 13, 2024",63192.95,63272.65,62035.64,62851.38,2476.52,2484.13,2436.97,2467.68
"Oct 12, 2024",62444.62,63448.79,62443.27,63193.02,2436.52,2488.24,2434.20,2476.52
"Oct 11, 2024",60275.46,63400.87,60046.13,62445.09,2383.94,2470.40,2380.50,2436.51
"Oct 10, 2024",60581.93,61236.72,58895.21,60274.50,2368.27,2417.29,2329.78,2383.86
"Oct 9, 2024",62131.73,62508.84,60314.61,60582.10,2439.84,2470.91,2350.95,2368.28
"Oct 8, 2024",62221.64,63174.30,61843.56,62131.97,2421.98,2464.13,2400.51,2439.84
"Oct 7, 2024",62819.11,64443.71,62152.55,62236.66,2439.94,2520.41,2405.13,2421.80
"Oct 6, 2024",62084.99,62959.57,61833.15,62818.95,2415.53,2456.63,2407.10,2439.96
"Oct 5, 2024",62067.61,62371.02,61689.58,62089.95,2414.85,2427.52,2390.84,2415.63
"Oct 4, 2024",60754.63,62465.99,60459.94,62067.48,2349.73,2440.24,2339.87,2414.79
"Oct 3, 2024",60632.48,61469.04,59878.80,60759.40,2365.21,2402.86,2311.03,2349.79
"Oct 2, 2024",60836.32,62357.69,59996.95,60632.79,2448.88,2498.12,2354.54,2365.23
"Oct 1, 2024",63335.61,64110.98,60189.28,60837.01,2603.26,2657.62,2415.08,2448.92
"Sep 30, 2024",65634.66,65635.05,62873.62,63329.50,2659.29,2662.49,2576.98,2603.06
"Sep 29, 2024",65888.90,66069.34,65450.02,65635.30,2677.63,2683.45,2635.58,2659.35
"Sep 28, 2024",65792.18,66255.53,65458.04,65887.65,2695.82,2704.93,2652.25,2677.54
"Sep 27, 2024",65180.66,66480.70,64852.99,65790.66,2632.24,2728.07,2616.95,2695.90
"Sep 26, 2024",63138.55,65790.80,62669.27,65181.02,2579.22,2665.99,2559.95,2632.20
"Sep 25, 2024",64302.59,64804.50,62945.38,63143.14,2654.36,2672.46,2557.72,2579.39
"Sep 24, 2024",63326.84,64695.21,62737.42,64301.97,2648.48,2671.28,2593.15,2654.35
"Sep 23, 2024",63643.10,64733.56,62628.08,63329.80,2582.77,2701.68,2541.91,2648.55
"Sep 22, 2024",63396.80,63993.42,62440.73,63648.71,2615.85,2632.04,2528.52,2582.86
"Sep 21, 2024",63184.34,63543.36,62783.11,63394.84,2560.88,2621.62,2530.84,2615.86
"Sep 20, 2024",62941.43,64119.53,62364.61,63192.98,2464.78,2571.99,2439.38,2561.07
"Sep 19, 2024",61651.16,63872.44,61609.87,62940.46,2369.37,2492.20,2369.37,2464.75
"Sep 18, 2024",60309.00,61664.07,59218.25,61649.68,2341.73,2369.73,2278.66,2369.73
"Sep 17, 2024",58192.51,61316.09,57628.07,60308.54,2295.28,2392.15,2263.79,2341.71
"Sep 16, 2024",59185.23,59205.51,57501.34,58192.51,2320.89,2334.79,2253.72,2295.28
"Sep 15, 2024",60000.73,60381.92,58696.31,59182.84,2418.27,2430.38,2286.63,2320.90
"Sep 14, 2024",60569.12,60656.72,59517.88,60005.12,2441.58,2442.63,2386.98,2418.60
"Sep 13, 2024",58130.32,60648.02,57650.11,60571.30,2361.74,2462.80,2338.14,2441.61
"Sep 12, 2024",57343.17,58534.36,57330.10,58127.01,2339.84,2390.19,2316.16,2361.78
"Sep 11, 2024",57650.29,57991.32,55567.34,57343.17,2389.60,2389.72,2279.05,2339.84
"Sep 10, 2024",57020.10,58029.98,56419.41,57648.71,2358.50,2398.50,2323.07,2389.58
"Sep 9, 2024",54851.89,58041.13,54598.43,57019.54,2297.90,2379.79,2274.12,2358.48
"Sep 8, 2024",54147.93,55300.86,53653.76,54841.57,2274.44,2332.36,2243.91,2297.29
"Sep 7, 2024",53949.09,54838.14,53740.07,54139.69,2223.93,2310.19,2222.10,2274.11
"Sep 6, 2024",56160.19,56976.11,52598.70,53948.75,2367.70,2406.51,2150.86,2223.88
"Sep 5, 2024",57971.70,58300.58,55712.45,56160.49,2448.99,2465.39,2348.86,2367.74
"Sep 4, 2024",57430.35,58511.57,55673.16,57971.54,2420.19,2488.92,2313.27,2448.98
"Sep 3, 2024",59106.19,59815.06,57425.17,57431.02,2538.16,2552.80,2419.88,2420.60
"Sep 2, 2024",57326.97,59403.07,57136.03,59112.48,2427.97,2563.09,2426.10,2538.19
"Sep 1, 2024",58969.80,59062.07,57217.82,57325.49,2513.42,2515.47,2401.89,2427.90
"Aug 31, 2024",59117.48,59432.59,58768.79,58969.90,2525.86,2532.39,2493.71,2513.39
"Aug 30, 2024",59388.60,59896.89,57768.53,59119.48,2528.73,2539.92,2432.83,2525.82
"Aug 29, 2024",59027.47,61184.08,58786.23,59388.18,2528.36,2595.98,2507.50,2528.79
"Aug 28, 2024",59507.93,60236.45,57890.68,59027.63,2458.90,2553.82,2422.29,2528.42
"Aug 27, 2024",62879.71,63210.80,58116.75,59504.13,2681.62,2700.15,2401.18,2458.73
"Aug 26, 2024",64342.23,64489.71,62849.56,62880.66,2749.25,2763.00,2668.89,2681.34
"Aug 25, 2024",64176.37,64996.42,63833.52,64333.54,2769.10,2793.01,2736.09,2749.16
"Aug 24, 2024",64103.87,64513.79,63619.92,64178.99,2765.48,2820.02,2737.78,2769.39
"Aug 23, 2024",60380.95,64947.06,60372.05,64094.36,2622.92,2799.33,2622.58,2764.45
"Aug 22, 2024",61168.32,61408.11,59815.25,60381.91,2630.86,2644.82,2587.11,2622.95
"Aug 21, 2024",59014.99,61834.35,58823.45,61175.19,2573.11,2662.95,2538.66,2631.40
"Aug 20, 2024",59493.45,61396.33,58610.88,59012.79,2637.31,2695.91,2556.75,2573.11
"Aug 19, 2024",58480.71,59612.66,57864.71,59493.45,2612.72,2648.28,2566.40,2637.31
"Aug 18, 2024",59468.13,60262.72,58445.40,58483.96,2614.11,2684.03,2596.74,2613.36
