Date,Open,High,Low,Close
"Dec 31, 2024",3356.39,3444.40,3311.41,3332.53
"Dec 30, 2024",3349.59,3428.53,3298.80,3356.39
"Dec 29, 2024",3397.86,3406.65,3321.66,3349.51
"Dec 28, 2024",3328.77,3419.92,3318.03,3397.90
"Dec 27, 2024",3331.05,3436.71,3302.58,3328.92
"Dec 26, 2024",3493.30,3512.60,3302.31,3331.23
"Dec 25, 2024",3491.96,3542.83,3440.10,3493.24
"Dec 24, 2024",3415.74,3535.86,3355.61,3492.05
"Dec 23, 2024",3277.51,3461.53,3217.37,3415.79
"Dec 22, 2024",3337.00,3398.66,3219.29,3277.54
"Dec 21, 2024",3472.59,3552.92,3293.51,3337.22
"Dec 20, 2024",3417.93,3496.33,3098.20,3472.55
"Dec 19, 2024",3619.58,3717.66,3330.87,3417.93
"Dec 18, 2024",3886.89,3902.72,3617.84,3618.79
"Dec 17, 2024",3987.33,4040.34,3849.29,3886.77
"Dec 16, 2024",3951.65,4106.96,3882.71,3987.48
"Dec 15, 2024",3868.44,3971.50,3832.10,3951.94
"Dec 14, 2024",3910.85,3943.28,3826.76,3868.41
"Dec 13, 2024",3883.03,3967.40,3855.02,3911.21
"Dec 12, 2024",3833.17,3987.01,3800.09,3883.10
"Dec 11, 2024",3631.28,3850.77,3567.57,3832.82
"Dec 10, 2024",3719.00,3780.75,3520.37,3631.83
"Dec 9, 2024",4006.10,4008.78,3525.23,3718.69
"Dec 8, 2024",4007.69,4018.00,3927.85,4005.70
"Dec 7, 2024",4006.03,4029.45,3974.18,4002.69
"Dec 6, 2024",3792.21,4093.17,3782.68,4005.81
"Dec 5, 2024",3840.84,3956.54,3683.42,3811.01
"Dec 4, 2024",3620.04,3895.17,3617.74,3841.33
"Dec 3, 2024",3643.74,3670.22,3504.23,3620.71
"Dec 2, 2024",3710.50,3761.34,3557.25,3644.20
"Dec 1, 2024",3706.62,3747.46,3663.23,3711.17
"Nov 30, 2024",3593.60,3739.93,3572.25,3705.71
"Nov 29, 2024",3579.91,3647.26,3538.45,3593.49
"Nov 28, 2024",3656.61,3664.88,3531.87,3579.81
"Nov 27, 2024",3326.03,3687.01,3303.57,3657.25
"Nov 26, 2024",3412.95,3461.29,3255.54,3326.52
"Nov 25, 2024",3364.60,3545.28,3304.09,3413.54
"Nov 24, 2024",3397.00,3451.80,3288.43,3363.66
"Nov 23, 2024",3331.65,3499.37,3317.65,3396.22
"Nov 22, 2024",3360.65,3428.46,3262.81,3331.60
"Nov 21, 2024",3072.06,3388.54,3035.85,3361.05
"Nov 20, 2024",3111.12,3159.95,3032.60,3072.19
"Nov 19, 2024",3208.25,3222.00,3070.36,3111.38
"Nov 18, 2024",3075.72,3225.13,3052.49,3207.86
"Nov 17, 2024",3133.31,3160.15,3039.25,3075.66
"Nov 16, 2024",3089.74,3218.09,3073.29,3133.27
"Nov 15, 2024",3059.53,3130.70,3016.14,3103.04
"Nov 14, 2024",3192.52,3240.27,3032.97,3058.95
"Nov 13, 2024",3244.54,3337.88,3121.67,3192.60
"Nov 12, 2024",3375.15,3444.15,3211.20,3246.26
"Nov 11, 2024",3191.66,3389.53,3109.77,3374.81
"Nov 10, 2024",3130.73,3249.91,3073.25,3191.33
"Nov 9, 2024",2962.79,3156.37,2957.18,3131.14
"Nov 8, 2024",2895.60,2983.74,2889.48,2962.30
"Nov 7, 2024",2724.01,2918.74,2701.59,2895.59
"Nov 6, 2024",2422.54,2743.96,2421.81,2724.17
"Nov 5, 2024",2397.04,2478.62,2380.60,2422.65
"Nov 4, 2024",2456.10,2488.35,2359.58,2397.03
"Nov 3, 2024",2491.09,2495.44,2411.40,2456.43
"Nov 2, 2024",2512.21,2522.36,2471.96,2491.07
"Nov 1, 2024",2515.87,2583.78,2467.82,2511.89
"Oct 31, 2024",2657.21,2667.56,2501.57,2515.80
"Oct 30, 2024",2637.64,2720.27,2600.61,2657.37
"Oct 29, 2024",2565.42,2680.05,2560.15,2637.96
"Oct 28, 2024",2505.59,2587.43,2470.27,2565.35
"Oct 27, 2024",2479.94,2523.17,2462.27,2505.94
"Oct 26, 2024",2436.05,2503.23,2427.46,2479.60
"Oct 25, 2024",2534.45,2563.73,2381.45,2435.93
"Oct 24, 2024",2523.61,2559.15,2506.72,2534.50
"Oct 23, 2024",2620.09,2624.45,2457.17,2509.10
"Oct 22, 2024",2665.66,2669.79,2605.62,2620.20
"Oct 21, 2024",2746.31,2765.55,2655.29,2665.71
"Oct 20, 2024",2648.67,2756.44,2635.95,2746.36
"Oct 19, 2024",2641.49,2661.87,2631.66,2648.66
"Oct 18, 2024",2604.81,2674.37,2595.96,2641.55
"Oct 17, 2024",2611.19,2646.87,2577.31,2604.27
"Oct 16, 2024",2606.02,2644.85,2589.61,2611.10
"Oct 15, 2024",2629.02,2685.17,2537.94,2606.02
"Oct 14, 2024",2467.65,2652.88,2443.55,2628.90
"Oct 13, 2024",2476.52,2484.13,2436.97,2467.68
"Oct 12, 2024",2436.52,2488.24,2434.20,2476.52
"Oct 11, 2024",2383.94,2470.40,2380.50,2436.51
"Oct 10, 2024",2368.27,2417.29,2329.78,2383.86
"Oct 9, 2024",2439.84,2470.91,2350.95,2368.28
"Oct 8, 2024",2421.98,2464.13,2400.51,2439.84
"Oct 7, 2024",2439.94,2520.41,2405.13,2421.80
"Oct 6, 2024",2415.53,2456.63,2407.10,2439.96
"Oct 5, 2024",2414.85,2427.52,2390.84,2415.63
"Oct 4, 2024",2349.73,2440.24,2339.87,2414.79
"Oct 3, 2024",2365.21,2402.86,2311.03,2349.79
"Oct 2, 2024",2448.88,2498.12,2354.54,2365.23
"Oct 1, 2024",2603.26,2657.62,2415.08,2448.92
"Sep 30, 2024",2659.29,2662.49,2576.98,2603.06
"Sep 29, 2024",2677.63,2683.45,2635.58,2659.35
"Sep 28, 2024",2695.82,2704.93,2652.25,2677.54
"Sep 27, 2024",2632.24,2728.07,2616.95,2695.90
"Sep 26, 2024",2579.22,2665.99,2559.95,2632.20
"Sep 25, 2024",2654.36,2672.46,2557.72,2579.39
"Sep 24, 2024",2648.48,2671.28,2593.15,2654.35
"Sep 23, 2024",2582.77,2701.68,2541.91,2648.55
"Sep 22, 2024",2615.85,2632.04,2528.52,2582.86
"Sep 21, 2024",2560.88,2621.62,2530.84,2615.86
"Sep 20, 2024",2464.78,2571.99,2439.38,2561.07
"Sep 19, 2024",2369.37,2492.20,2369.37,2464.75
"Sep 18, 2024",2341.73,2369.73,2278.66,2369.73
"Sep 17, 2024",2295.28,2392.15,2263.79,2341.71
"Sep 16, 2024",2320.89,2334.79,2253.72,2295.28
"Sep 15, 2024",2418.27,2430.38,2286.63,2320.90
"Sep 14, 2024",2441.58,2442.63,2386.98,2418.60
"Sep 13, 2024",2361.74,2462.80,2338.14,2441.61
"Sep 12, 2024",2339.84,2390.19,2316.16,2361.78
"Sep 11, 2024",2389.60,2389.72,2279.05,2339.84
"Sep 10, 2024",2358.50,2398.50,2323.07,2389.58
"Sep 9, 2024",2297.90,2379.79,2274.12,2358.48
"Sep 8, 2024",2274.44,2332.36,2243.91,2297.29
"Sep 7, 2024",2223.93,2310.19,2222.10,2274.11
"Sep 6, 2024",2367.70,2406.51,2150.86,2223.88
"Sep 5, 2024",2448.99,2465.39,2348.86,2367.74
"Sep 4, 2024",2420.19,2488.92,2313.27,2448.98
"Sep 3, 2024",2538.16,2552.80,2419.88,2420.60
"Sep 2, 2024",2427.97,2563.09,2426.10,2538.19
"Sep 1, 2024",2513.42,2515.47,2401.89,2427.90
