Date,Open,High,Low,Close,Adj Close
"Dec 31, 2024",0.9981,1,0.9978,0.9981,0.9981
"Dec 30, 2024",0.9982,0.9997,0.9971,0.9981,0.9981
"Dec 29, 2024",0.9982,0.9993,0.9976,0.9981,0.9981
"Dec 28, 2024",0.9986,0.9996,0.9979,0.9982,0.9982
"Dec 27, 2024",0.9989,1,0.9978,0.9986,0.9986
"Dec 26, 2024",0.9992,1.0006,0.9986,0.9988,0.9988
"Dec 25, 2024",0.9993,1.0005,0.9988,0.9992,0.9992
"Dec 24, 2024",0.9987,1.0004,0.9982,0.9993,0.9993
"Dec 23, 2024",0.999,1.0001,0.9982,0.9987,0.9987
"Dec 22, 2024",0.9997,1.0006,0.9986,0.9991,0.9991
"Dec 21, 2024",0.9995,1.0006,0.9991,0.9998,0.9998
"Dec 20, 2024",0.9992,1.0007,0.9979,0.9995,0.9995
"Dec 19, 2024",0.9995,1.0006,0.9977,0.9992,0.9992
"Dec 18, 2024",1.0001,1.0003,0.9981,0.9997,0.9997
"Dec 17, 2024",1.0002,1.0005,0.9986,1.0001,1.0001
"Dec 16, 2024",0.9993,1.0006,0.9985,1.0001,1.0001
"Dec 15, 2024",0.9997,1.0001,0.9992,0.9994,0.9994
"Dec 14, 2024",1.0001,1.0003,0.9993,0.9997,0.9997
"Dec 13, 2024",1.0001,1.0007,0.9993,1.0001,1.0001
"Dec 12, 2024",1.0006,1.0011,0.9991,1.0001,1.0001
"Dec 11, 2024",1.0007,1.0014,1,1.0006,1.0006
"Dec 10, 2024",1.0005,1.0016,0.9998,1.0007,1.0007
"Dec 9, 2024",1.0007,1.0024,0.9982,1.0004,1.0004
"Dec 8, 2024",1.0009,1.0012,1.0002,1.0008,1.0008
"Dec 7, 2024",1.0015,1.0018,1.0004,1.0009,1.0009
"Dec 6, 2024",1.0011,1.0021,0.9996,1.0015,1.0015
"Dec 5, 2024",1.0013,1.0026,0.9994,1.0022,1.0022
